
 #  KliegelLevine-1.0.1

 # Curve of M(xs,ys) = M(0,1), 0 <= ys <= 1.
 # Coordinates are parameterized in terms of the throat radius.
 # tht = atan(V(x,y)/U(x,y)).

                  #    x                       y                M (mach)               tht (rad)
  4.1371777565218509E-01  0.0000000000000000E+00  1.1510167807797478E+00  0.0000000000000000E+00
  4.1346539151854816E-01  2.5000000000000001E-02  1.1510167807673166E+00  2.0825606895537993E-03
  4.1270810491405430E-01  5.0000000000000003E-02  1.1510167807187173E+00  4.1621904239175587E-03
  4.1144551574252547E-01  7.5000000000000011E-02  1.1510167807605824E+00  6.2359008399343911E-03
  4.0967696425504979E-01  1.0000000000000001E-01  1.1510167807579152E+00  8.3005886236907824E-03
  4.0740154306404297E-01  1.2500000000000000E-01  1.1510167807564666E+00  1.0352977759156416E-02
  4.0461811269633458E-01  1.5000000000000002E-01  1.1510167807737566E+00  1.2389561424391446E-02
  4.0132532180286956E-01  1.7500000000000002E-01  1.1510167807351350E+00  1.4406543457298731E-02
  3.9752163221128289E-01  2.0000000000000001E-01  1.1510167807459806E+00  1.6399779349478488E-02
  3.9320534733124085E-01  2.2500000000000001E-01  1.1510167807755045E+00  1.8364716634878882E-02
  3.8837464521639053E-01  2.5000000000000000E-01  1.1510167807745375E+00  2.0296334716056033E-02
  3.8302761535160240E-01  2.7500000000000002E-01  1.1510167807780518E+00  2.2189084085845148E-02
  3.7716229842044413E-01  3.0000000000000004E-01  1.1510167807250029E+00  2.4036824898658275E-02
  3.7077672970481218E-01  3.2500000000000001E-01  1.1510167807689740E+00  2.5832765005683291E-02
  3.6386898360215142E-01  3.5000000000000003E-01  1.1510167807420251E+00  2.7569397262156393E-02
  3.5643722140230250E-01  3.7500000000000000E-01  1.1510167807662599E+00  2.9238436424990948E-02
  3.4847973822616046E-01  4.0000000000000002E-01  1.1510167807607041E+00  3.0830755246926959E-02
  3.3999501080252237E-01  4.2500000000000004E-01  1.1510167807283116E+00  3.2336320025681632E-02
  3.3098174338229014E-01  4.5000000000000001E-01  1.1510167807552052E+00  3.3744125298315358E-02
  3.2143891048617673E-01  4.7500000000000003E-01  1.1510167807206724E+00  3.5042127436160163E-02
  3.1136579648591589E-01  5.0000000000000000E-01  1.1510167807687728E+00  3.6217177067263413E-02
  3.0076202792115508E-01  5.2500000000000002E-01  1.1510167807180236E+00  3.7254949399078113E-02
  2.8962760013528172E-01  5.5000000000000004E-01  1.1510167807713252E+00  3.8139872390160902E-02
  2.7796289273537705E-01  5.7500000000000007E-01  1.1510167807692366E+00  3.8855051146988798E-02
  2.6576867583207781E-01  6.0000000000000009E-01  1.1510167807175002E+00  3.9382188172321302E-02
  2.5304610277526079E-01  6.2500000000000000E-01  1.1510167807259120E+00  3.9701497511373932E-02
  2.3979668826796108E-01  6.5000000000000002E-01  1.1510167807744578E+00  3.9791611102313704E-02
  2.2602227083407339E-01  6.7500000000000004E-01  1.1510167807742204E+00  3.9629475310668003E-02
  2.1172495787031953E-01  7.0000000000000007E-01  1.1510167807679526E+00  3.9190234978367308E-02
  1.9690705114044255E-01  7.2500000000000009E-01  1.1510167807210909E+00  3.8447101599706802E-02
  1.8157095243223015E-01  7.5000000000000000E-01  1.1510167807633007E+00  3.7371202152723118E-02
  1.6571904667653148E-01  7.7500000000000002E-01  1.1510167807802720E+00  3.5931403592113088E-02
  1.4935356290079654E-01  8.0000000000000004E-01  1.1510167807697425E+00  3.4094108139232721E-02
  1.3247641003690658E-01  8.2500000000000007E-01  1.1510167807872638E+00  3.1823012306910488E-02
  1.1508898609317839E-01  8.5000000000000009E-01  1.1510167807487328E+00  2.9078821743745684E-02
  9.7191959014162430E-02  8.7500000000000000E-01  1.1510167807154426E+00  2.5818912382964715E-02
  7.8785014944151049E-02  9.0000000000000002E-01  1.1510167807858740E+00  2.1996925263404604E-02
  5.9866569610312573E-02  9.2500000000000004E-01  1.1510167807779026E+00  1.7562279695709074E-02
  4.0433437610045087E-02  9.5000000000000007E-01  1.1510167807645555E+00  1.2459585747738425E-02
  2.0480448706075551E-02  9.7500000000000009E-01  1.1510167807351173E+00  6.6279297169358964E-03
  0.0000000000000000E+00  1.0000000000000000E+00  1.1510167807496812E+00  1.8860121955256797E-17
