
 #  KliegelLevine-1.0.1

 # Curve of M(xs,ys) = M(0,1), 0 <= ys <= 1.
 # Coordinates are parameterized in terms of the throat radius.
 # tht = atan(V(x,y)/U(x,y)).

                  #    x                       y                M (mach)               tht (rad)
  4.1371777565218509E-01  0.0000000000000000E+00  1.1510167807797478E+00  0.0000000000000000E+00
  4.1270810491405430E-01  5.0000000000000003E-02  1.1510167807187173E+00  4.1621904239175587E-03
  4.0967696425504979E-01  1.0000000000000001E-01  1.1510167807579152E+00  8.3005886236907824E-03
  4.0461811269633458E-01  1.5000000000000002E-01  1.1510167807737566E+00  1.2389561424391446E-02
  3.9752163221128289E-01  2.0000000000000001E-01  1.1510167807459806E+00  1.6399779349478488E-02
  3.8837464521639053E-01  2.5000000000000000E-01  1.1510167807745375E+00  2.0296334716056033E-02
  3.7716229842044413E-01  3.0000000000000004E-01  1.1510167807250029E+00  2.4036824898658275E-02
  3.6386898360215142E-01  3.5000000000000003E-01  1.1510167807420251E+00  2.7569397262156393E-02
  3.4847973822616046E-01  4.0000000000000002E-01  1.1510167807607041E+00  3.0830755246926959E-02
  3.3098174338229014E-01  4.5000000000000001E-01  1.1510167807552052E+00  3.3744125298315358E-02
  3.1136579648591589E-01  5.0000000000000000E-01  1.1510167807687728E+00  3.6217177067263413E-02
  2.8962760013528172E-01  5.5000000000000004E-01  1.1510167807713252E+00  3.8139872390160902E-02
  2.6576867583207781E-01  6.0000000000000009E-01  1.1510167807175002E+00  3.9382188172321302E-02
  2.3979668826796108E-01  6.5000000000000002E-01  1.1510167807744578E+00  3.9791611102313704E-02
  2.1172495787031953E-01  7.0000000000000007E-01  1.1510167807679526E+00  3.9190234978367308E-02
  1.8157095243223015E-01  7.5000000000000000E-01  1.1510167807633007E+00  3.7371202152723118E-02
  1.4935356290079654E-01  8.0000000000000004E-01  1.1510167807697425E+00  3.4094108139232721E-02
  1.1508898609317839E-01  8.5000000000000009E-01  1.1510167807487328E+00  2.9078821743745684E-02
  7.8785014944151049E-02  9.0000000000000002E-01  1.1510167807858740E+00  2.1996925263404604E-02
  4.0433437610045087E-02  9.5000000000000007E-01  1.1510167807645555E+00  1.2459585747738425E-02
  0.0000000000000000E+00  1.0000000000000000E+00  1.1510167807496812E+00  1.8860121955256797E-17
