         x,          y,          M,          tht
0.0000000000e+00,1.0000000000e+00,1.1532900000e+00,-4.9711148980e-05
1.3441344134e-02,9.8333333333e-01,1.1532577056e+00,4.3059883492e-03
2.6762676268e-02,9.6666666667e-01,1.1532215278e+00,8.3051418281e-03
3.9963996400e-02,9.5000000000e-01,1.1532737021e+00,1.1994414305e-02
5.2925292529e-02,9.3333333333e-01,1.1532599966e+00,1.5337333689e-02
6.5646564656e-02,9.1666666667e-01,1.1531994431e+00,1.8358713761e-02
7.8247824782e-02,9.0000000000e-01,1.1532182175e+00,2.1145362763e-02
9.0609060906e-02,8.8333333333e-01,1.1532068930e+00,2.3652798215e-02
1.0285028503e-01,8.6666666667e-01,1.1532852356e+00,2.5958690496e-02
1.1473147315e-01,8.5000000000e-01,1.1532375255e+00,2.7966124788e-02
1.2649264926e-01,8.3333333333e-01,1.1532857917e+00,2.9802997521e-02
1.3789378938e-01,8.1666666667e-01,1.1532206604e+00,3.1378072487e-02
1.4917491749e-01,8.0000000000e-01,1.1532576582e+00,3.2808426212e-02
1.6009600960e-01,7.8333333333e-01,1.1531901459e+00,3.4008260391e-02
1.7089708971e-01,7.6666666667e-01,1.1532264309e+00,3.5084108072e-02
1.8145814581e-01,7.5000000000e-01,1.1532648454e+00,3.5998873657e-02
1.9165916592e-01,7.3333333333e-01,1.1532073304e+00,3.6720872533e-02
2.0174017402e-01,7.1666666667e-01,1.1532532071e+00,3.7344058067e-02
2.1146114611e-01,7.0000000000e-01,1.1532074709e+00,3.7795524989e-02
2.2106210621e-01,6.8333333333e-01,1.1532631943e+00,3.8161477421e-02
2.3030303030e-01,6.6666666667e-01,1.1532287012e+00,3.8373701773e-02
2.3930393039e-01,6.5000000000e-01,1.1532012541e+00,3.8477565929e-02
2.4818481848e-01,6.3333333333e-01,1.1532713299e+00,3.8511688924e-02
2.5670567057e-01,6.1666666667e-01,1.1532529703e+00,3.8415796006e-02
2.6498649865e-01,6.0000000000e-01,1.1532393590e+00,3.8228179040e-02
2.7302730273e-01,5.8333333333e-01,1.1532298535e+00,3.7955645143e-02
2.8082808281e-01,5.6666666667e-01,1.1532225678e+00,3.7601148432e-02
2.8838883888e-01,5.5000000000e-01,1.1532179165e+00,3.7170159768e-02
2.9570957096e-01,5.3333333333e-01,1.1532153980e+00,3.6666904779e-02
3.0279027903e-01,5.1666666667e-01,1.1532131375e+00,3.6095937068e-02
3.0963096310e-01,5.0000000000e-01,1.1532093208e+00,3.5459600229e-02
3.1623162316e-01,4.8333333333e-01,1.1532061490e+00,3.4763424537e-02
3.2271227123e-01,4.6666666667e-01,1.1532871040e+00,3.4030855043e-02
3.2883288329e-01,4.5000000000e-01,1.1532777388e+00,3.3221232780e-02
3.3471347135e-01,4.3333333333e-01,1.1532648145e+00,3.2360829167e-02
3.4035403540e-01,4.1666666667e-01,1.1532483318e+00,3.1452299088e-02
3.4575457546e-01,4.0000000000e-01,1.1532262569e+00,3.0498550194e-02
3.5103510351e-01,3.8333333333e-01,1.1532830454e+00,2.9519473526e-02
3.5595559556e-01,3.6666666667e-01,1.1532476466e+00,2.8482462240e-02
3.6075607561e-01,3.5000000000e-01,1.1532888536e+00,2.7423668622e-02
3.6519651965e-01,3.3333333333e-01,1.1532380725e+00,2.6313576693e-02
3.6951695170e-01,3.1666666667e-01,1.1532626402e+00,2.5184893125e-02
3.7359735974e-01,3.0000000000e-01,1.1532762919e+00,2.4024368097e-02
3.7743774377e-01,2.8333333333e-01,1.1532805656e+00,2.2834229307e-02
3.8103810381e-01,2.6666666667e-01,1.1532732705e+00,2.1616712731e-02
3.8439843984e-01,2.5000000000e-01,1.1532537623e+00,2.0373881313e-02
3.8751875188e-01,2.3333333333e-01,1.1532235654e+00,1.9107846653e-02
3.9051905191e-01,2.1666666667e-01,1.1532620345e+00,1.7829908494e-02
3.9327932793e-01,2.0000000000e-01,1.1532882910e+00,1.6531307904e-02
3.9567956796e-01,1.8333333333e-01,1.1532179597e+00,1.5206204691e-02
3.9795979598e-01,1.6666666667e-01,1.1532167339e+00,1.3872865963e-02
4.0012001200e-01,1.5000000000e-01,1.1532819113e+00,1.2531006971e-02
4.0192019202e-01,1.3333333333e-01,1.1532511286e+00,1.1169196341e-02
4.0360036004e-01,1.1666666667e-01,1.1532870989e+00,9.8012465286e-03
4.0492049205e-01,1.0000000000e-01,1.1532251463e+00,8.4186384122e-03
4.0612061206e-01,8.3333333333e-02,1.1532286862e+00,7.0324976716e-03
4.0708070807e-01,6.6666666667e-02,1.1532185934e+00,5.6400743820e-03
4.0792079208e-01,5.0000000000e-02,1.1532706928e+00,4.2470317778e-03
4.0840084008e-01,3.3333333333e-02,1.1532255655e+00,2.8561438633e-03
4.0876087609e-01,1.6666666667e-02,1.1532469116e+00,1.4812786047e-03
4.0888088809e-01,0.0000000000e+00,1.1532236291e+00,3.8765321186e-04
